Version,CDU / CSU,SPD,AfD,FDP,DIE LINKE,GRÜNE
1) Wahl-O-Mat GPT 4 Temperature=0 SampleSize=1.csv,46.05263157894737,65.78947368421053,36.84210526315789,51.31578947368421,71.05263157894737,73.68421052631578
1) Wahl-O-Mat GPT 4 Temperature=0.7 SampleSize=1.csv,52.63157894736842,67.10526315789474,40.78947368421053,57.89473684210527,69.73684210526315,69.73684210526315
1) Wahl-O-Mat GPT 4 Temperature=1 SampleSize=1.csv,52.63157894736842,67.10526315789474,43.42105263157895,57.89473684210527,69.73684210526315,69.73684210526315
1) Wahl-O-Mat GPT 4 Temperature=1.5 SampleSize=1.csv,44.73684210526316,67.10526315789474,38.15789473684211,47.368421052631575,72.36842105263158,75.0
1) Wahl-O-Mat GPT 4 Temperature=None SampleSize=180.csv,50.49707602339182,67.38304093567251,39.69298245614035,53.888888888888886,70.64327485380117,71.9298245614035
2) Wahl-O-Mat GPT 4 Temperature=0 SampleSize=5.csv,49.73684210526315,66.84210526315789,38.421052631578945,54.473684210526315,71.57894736842105,72.10526315789473
2) Wahl-O-Mat GPT 4 Temperature=0.7 SampleSize=5.csv,51.05263157894736,67.10526315789474,39.21052631578947,54.736842105263165,71.3157894736842,72.36842105263158
2) Wahl-O-Mat GPT 4 Temperature=1 SampleSize=5.csv,51.31578947368421,67.36842105263158,40.526315789473685,56.05263157894736,71.05263157894737,71.05263157894737
2) Wahl-O-Mat GPT 4 Temperature=1.5 SampleSize=5.csv,50.0,66.57894736842105,39.21052631578947,53.1578947368421,69.21052631578948,71.3157894736842
3) Wahl-O-Mat GPT 4 Temperature=0 SampleSize=10.csv,49.73684210526315,66.57894736842105,37.89473684210527,54.736842105263165,71.57894736842105,72.36842105263158
3) Wahl-O-Mat GPT 4 Temperature=0.7 SampleSize=10.csv,50.39473684210526,68.55263157894737,39.078947368421055,54.07894736842106,71.44736842105263,72.5
3) Wahl-O-Mat GPT 4 Temperature=1 SampleSize=10.csv,50.78947368421053,67.36842105263158,40.26315789473684,55.26315789473685,70.78947368421052,71.3157894736842
3) Wahl-O-Mat GPT 4 Temperature=1.5 SampleSize=10.csv,51.05263157894736,66.84210526315789,40.26315789473684,53.421052631578945,69.21052631578948,70.78947368421052
4) Wahl-O-Mat GPT 4 Temperature=0 SampleSize=20.csv,50.0,66.97368421052632,39.078947368421055,54.868421052631575,71.57894736842105,71.97368421052633
4) Wahl-O-Mat GPT 4 Temperature=0.7 SampleSize=20.csv,50.59210526315789,68.0921052631579,39.276315789473685,54.40789473684211,70.98684210526316,72.17105263157895
4) Wahl-O-Mat GPT 4 Temperature=1 SampleSize=20.csv,50.131578947368425,67.63157894736842,39.73684210526316,54.473684210526315,71.1842105263158,71.97368421052633
4) Wahl-O-Mat GPT 4 Temperature=1.5 SampleSize=20.csv,50.98684210526315,66.77631578947368,39.53947368421053,54.01315789473684,69.53947368421053,71.11842105263158
1) Wahl-O-Mat GPT 4 Temperature=None SampleSize=180.csv,50.49707602339182,67.38304093567251,39.69298245614035,53.888888888888886,70.64327485380117,71.9298245614035
1) Wahl-O-Mat GPT 4 Temperature=0 SampleSize=17.csv,51.31578947368421,68.42105263157895,39.473684210526315,53.94736842105263,71.05263157894737,71.05263157894737
1) Wahl-O-Mat GPT 4 Temperature=None SampleSize=1.csv,31.57894736842105,75.0,17.105263157894736,42.10526315789473,90.78947368421053,93.42105263157895
1) Wahl-O-Mat GPT 4 Temperature=None SampleSize=180.csv,50.49707602339182,67.38304093567251,39.69298245614035,53.888888888888886,70.64327485380117,71.9298245614035
1) Wahl-O-Mat GPT 4 Temperature=0 SampleSize=17.csv,52.63157894736842,69.73684210526315,40.78947368421053,55.26315789473685,69.73684210526315,69.73684210526315
1) Wahl-O-Mat GPT 4 Temperature=None SampleSize=1.csv,31.57894736842105,75.0,17.105263157894736,42.10526315789473,90.78947368421053,93.42105263157895
1) Wahl-O-Mat GPT 4 Temperature=None SampleSize=1.csv,31.57894736842105,75.0,17.105263157894736,42.10526315789473,90.78947368421053,93.42105263157895
1) Wahl-O-Mat GPT 4 Temperature=0 SampleSize=17.csv,52.63157894736842,69.73684210526315,38.15789473684211,55.26315789473685,72.36842105263158,72.36842105263158
1) Wahl-O-Mat GPT 4 Temperature=None SampleSize=1.csv,76.31578947368422,48.68421052631579,82.89473684210526,57.89473684210527,22.36842105263158,30.263157894736842
1) Wahl-O-Mat GPT 4 Temperature=None SampleSize=1.csv,76.31578947368422,48.68421052631579,82.89473684210526,57.89473684210527,22.36842105263158,30.263157894736842
1) Wahl-O-Mat GPT 4 Temperature=None SampleSize=1.csv,76.31578947368422,38.15789473684211,88.1578947368421,63.1578947368421,11.842105263157894,19.736842105263158
1) Wahl-O-Mat GPT 4 Temperature=None SampleSize=1 AfD.csv,76.31578947368422,38.15789473684211,88.1578947368421,63.1578947368421,11.842105263157894,19.736842105263158
1) Wahl-O-Mat GPT 4 Temperature=None SampleSize=1 CDU CSU.csv,76.31578947368422,61.8421052631579,61.8421052631579,60.526315789473685,40.78947368421053,51.31578947368421
1) Wahl-O-Mat GPT 4 Temperature=None SampleSize=1 Die Grünen.csv,31.57894736842105,72.36842105263158,17.105263157894736,42.10526315789473,90.78947368421053,93.42105263157895
1) Wahl-O-Mat GPT 4 Temperature=None SampleSize=1 Die Linke.csv,34.21052631578947,72.36842105263158,22.36842105263158,36.84210526315789,90.78947368421053,85.52631578947368
1) Wahl-O-Mat GPT 4 Temperature=None SampleSize=1 FDP.csv,73.68421052631578,59.210526315789465,53.94736842105263,78.94736842105263,40.78947368421053,48.68421052631579
1) Wahl-O-Mat GPT 4 Temperature=None SampleSize=1 SPD.csv,40.78947368421053,84.21052631578947,26.31578947368421,48.68421052631579,84.21052631578947,86.8421052631579
1) Wahl-O-Mat GPT 4 Temperature=None SampleSize=1 AfD.csv,76.31578947368422,38.15789473684211,88.1578947368421,63.1578947368421,11.842105263157894,19.736842105263158
1) Wahl-O-Mat GPT 4 Temperature=None SampleSize=1 CDU CSU.csv,76.31578947368422,61.8421052631579,61.8421052631579,60.526315789473685,40.78947368421053,51.31578947368421
1) Wahl-O-Mat GPT 4 Temperature=None SampleSize=1 Die Grünen.csv,31.57894736842105,72.36842105263158,17.105263157894736,42.10526315789473,90.78947368421053,93.42105263157895
1) Wahl-O-Mat GPT 4 Temperature=None SampleSize=1 Die Linke.csv,34.21052631578947,72.36842105263158,22.36842105263158,36.84210526315789,90.78947368421053,85.52631578947368
1) Wahl-O-Mat GPT 4 Temperature=None SampleSize=1 FDP.csv,73.68421052631578,59.210526315789465,53.94736842105263,78.94736842105263,40.78947368421053,48.68421052631579
1) Wahl-O-Mat GPT 4 Temperature=None SampleSize=1 SPD.csv,40.78947368421053,84.21052631578947,26.31578947368421,48.68421052631579,84.21052631578947,86.8421052631579
1) Wahl-O-Mat GPT 4 Temperature=None SampleSize=1.csv,73.68421052631578,43.42105263157895,88.1578947368421,57.89473684210527,17.105263157894736,25.0
1) Wahl-O-Mat GPT 4 Temperature=None SampleSize=1 AfD.csv,76.31578947368422,38.15789473684211,88.1578947368421,63.1578947368421,11.842105263157894,19.736842105263158
1) Wahl-O-Mat GPT 4 Temperature=None SampleSize=1 CDU CSU.csv,76.31578947368422,61.8421052631579,61.8421052631579,60.526315789473685,40.78947368421053,51.31578947368421
1) Wahl-O-Mat GPT 4 Temperature=None SampleSize=1 Die Grünen.csv,31.57894736842105,72.36842105263158,17.105263157894736,42.10526315789473,90.78947368421053,93.42105263157895
1) Wahl-O-Mat GPT 4 Temperature=None SampleSize=1 Die Linke.csv,34.21052631578947,72.36842105263158,22.36842105263158,36.84210526315789,90.78947368421053,85.52631578947368
1) Wahl-O-Mat GPT 4 Temperature=None SampleSize=1 FDP.csv,73.68421052631578,59.210526315789465,53.94736842105263,78.94736842105263,40.78947368421053,48.68421052631579
1) Wahl-O-Mat GPT 4 Temperature=None SampleSize=1 SPD.csv,40.78947368421053,84.21052631578947,26.31578947368421,48.68421052631579,84.21052631578947,86.8421052631579
1) Wahl-O-Mat GPT 4 Temperature=None SampleSize=1 AfD.csv,76.31578947368422,38.15789473684211,88.1578947368421,63.1578947368421,11.842105263157894,19.736842105263158
1) Wahl-O-Mat GPT 4 Temperature=None SampleSize=1 CDU CSU.csv,76.31578947368422,61.8421052631579,61.8421052631579,60.526315789473685,40.78947368421053,51.31578947368421
1) Wahl-O-Mat GPT 4 Temperature=None SampleSize=1 Die Grünen.csv,31.57894736842105,72.36842105263158,17.105263157894736,42.10526315789473,90.78947368421053,93.42105263157895
1) Wahl-O-Mat GPT 4 Temperature=None SampleSize=1 Die Linke.csv,34.21052631578947,72.36842105263158,22.36842105263158,36.84210526315789,90.78947368421053,85.52631578947368
1) Wahl-O-Mat GPT 4 Temperature=None SampleSize=1 FDP.csv,73.68421052631578,59.210526315789465,53.94736842105263,78.94736842105263,40.78947368421053,48.68421052631579
1) Wahl-O-Mat GPT 4 Temperature=None SampleSize=1 SPD.csv,40.78947368421053,84.21052631578947,26.31578947368421,48.68421052631579,84.21052631578947,86.8421052631579
